종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
272290,이녹스첨단소재,KOSDAQ GLOBAL,우량기업부,29050,150,0.52,29150,29450,28350,137882,3975293400,586858164900,20201658
290650,엘앤씨바이오,KOSDAQ,벤처기업부,25850,50,0.19,26150,26400,25600,68130,1771336200,586404432350,22684891
000815,삼성화재우,KOSPI,,183000,-2800,-1.51,185600,185600,181800,16761,3070953400,584136000000,3192000
031430,신세계인터내셔날,KOSPI,,16270,190,1.18,16020,16350,16020,26413,428635550,580839000000,35700000
049070,인탑스,KOSDAQ GLOBAL,우량기업부,33750,-1650,-4.66,34800,36150,32850,3722233,128787114350,580500000000,17200000
293940,신한알파리츠,KOSPI,,6500,0,0.00,6450,6530,6450,68291,442754210,572650799500,88100123
018290,브이티,KOSDAQ,우량기업부,15970,1020,6.82,14850,16080,14830,746189,11715451100,571694171790,35798007
237880,클리오,KOSDAQ,우량기업부,31500,900,2.94,30600,31900,30600,69599,2185834550,569247619500,18071353
108860,셀바스AI,KOSDAQ,벤처기업부,21000,1120,5.63,19800,21300,19700,906241,18800938920,565210590000,26914790
094360,칩스앤미디어,KOSDAQ,벤처기업부,29300,250,0.86,29350,29450,28600,396064,11511007600,564922459000,19280630
041190,우리기술투자,KOSDAQ,우량기업부,6710,300,4.68,6320,6740,6270,5608315,36586851020,563640000000,84000000
095660,네오위즈,KOSDAQ,우량기업부,25550,350,1.39,25400,26200,25100,128950,3315376950,562961520450,22033719
257720,실리콘투,KOSDAQ,벤처기업부,9320,750,8.75,8510,9330,8400,2656930,24136540610,562827660880,60389234
007700,F&F홀딩스,KOSPI,,14190,-20,-0.14,14230,14430,14170,7505,107224030,555032867730,39114367
031980,피에스케이홀딩스,KOSDAQ,우량기업부,25600,500,1.99,25100,25700,24450,148625,3731363150,551997312000,21562395
001720,신영증권,KOSPI,,58800,100,0.17,59300,59500,58500,1559,91795800,551910735600,9386237
